id,image,title,price,type,grape,country,region,abv,bottlesize
0,//cdn.shopify.com/s/files/1/0097/8128/0834/products/MauriceChoppin_EpinettedeChampagne_BlancdeBlancTheGoodWineShop_1024x1024.jpg?v=1668524482,"Maurice Choppin, Epinette de Champagne, Blanc de Blanc",61.00,Sparkling ,Chardonnay,France,Champagne,12.5%,75cl
1,//cdn.shopify.com/s/files/1/0097/8128/0834/products/MauriceChoppin_LesMis-CotesTheGoodWineShop_1024x1024.jpg?v=1668596183,"Maurice Choppin, Les Mis-Cotes",46.00,Sparkling ,Chardonnay,France,Champagne,12.5%,75cl
2,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChateauAnthonic_LesAiglesd_Anthonic2020TheGoodWineShop_1024x1024.jpg?v=1668509557,"Chateau Anthonic, Les Aigles d'Anthonic 2020",23.00,Red ,Cabernet Franc,France,Bordeaux,13%,75cl
3,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChateauRousset-Peyraguey_CremedeTeteTeerthatra2011TheGoodWineShop_2_1024x1024.jpg?v=1668517034,"Chateau Rousset-Peyraguey, Creme de Tete Teerthatra 2011",35.00,Sweet ,Semillon,France,Bordeaux,12.5%,37.5cl
4,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChateauMarsau_Francs-Cotes-de-Bordeaux2017TheGoodWineShop_1024x1024.jpg?v=1668512479,"Chateau Marsau, Francs-Cotes-de-Bordeaux 2017",32.00,Sweet ,Semillon,France,Bordeaux,12.5%,37.5cl
5,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineAmiot-Servelle_BourgogneCoted_OrRouge2019TheGoodWineShop_1024x1024.jpg?v=1668508297,"Domaine Amiot-Servelle, Bourgogne Cote d'Or Rouge 2019",38.00,Red ,Pinot Noir,France,Burgundy,14%,75cl
6,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Vanessa_CabernetFranc2018TheGoodWineShop_1024x1024.jpg?v=1651762141,"Vanessa, Cabernet Franc 2018",80.00,Red ,Cabernet Franc,Canada,British Columbia ,16%,75cl
7,//cdn.shopify.com/s/files/1/0097/8128/0834/products/StagsHollow_Albarino_Okanagan_Canada-TheGoodWineShop_1_1024x1024.jpg?v=1654525383,"Stags Hollow, Albarino Okanagan Falls 2020",43.00,White ,Albarino,Canada,British Columbia,13%,75cl
8,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Meyer_MicroCuveeChardonnay2020TheGoodWineShop_1024x1024.jpg?v=1651755170,"Meyer, Micro Cuvee Chardonnay 2020",70.00,White ,Chardonnay,Canada,British Columbia,13.5%,75cl
9,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Meyer_McLeanCreekPinotNoir2019TheGoodWineShop_1024x1024.jpg?v=1651760951,"Meyer, B-Field Blend Pinot Noir 2020",47.00,Red ,Pinot Noir,Canada,British Columbia,13.5%,75cl
10,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Orofini_Syrah2019TheGoodWineShop_1024x1024.jpg?v=1651760202,"Orofino, Syrah 2019",45.50,Red ,Syrah,Canada,British Columbia,14.4%,75cl
11,//cdn.shopify.com/s/files/1/0097/8128/0834/products/BLANKBottle_Luuks2021TheGoodWineShop_1024x1024.jpg?v=1667402626,"BLANK Bottle, Luuks 2021",33.00,White ,Chardonnay,South Africa,Stellenbosch,12.5%,75cl
12,//cdn.shopify.com/s/files/1/0097/8128/0834/products/KelleyFox_WillametteValleyChardonnay2021TheGoodWineShop_1024x1024.jpg?v=1667230227,"Kelley Fox, Willamette Valley Chardonnay 2021",29.00,White ,Chardonnay,United States,Oregon,13%,75cl
13,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Matthiasson_CabernetSauvignon2018TheGoodWineShop_1024x1024.jpg?v=1667228158,"Matthiasson, Cabernet Sauvignon 2018",68.00,Red ,Cabernet Sauvignon,United States,California,13.5%,75cl
14,//cdn.shopify.com/s/files/1/0097/8128/0834/products/MaitredeChai_StampedeZinfandel2019TheGoodWineShop_1024x1024.jpg?v=1666878175,"Maitre de Chai, Stampede Zinfandel 2019",32.00,Red ,Zinfandel,United States,California,13%,75cl
15,//cdn.shopify.com/s/files/1/0097/8128/0834/products/CasaClara_CapelaTrincadeira2018TheGoodWineShop_1024x1024.jpg?v=1666701923,"Casa Clara, Capela Trincadeira 2018",17.50,Red ,Trincadeira,Portugal,Alentejo,14%,75cl
16,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ValleedesAigles_LimouxMerlot2016TheGoodWineShop_1024x1024.jpg?v=1666611679,"Vallee des Aigles, Limoux Merlot 2016",19.50,Red ,Merlot,France,Languedoc Roussillon,13%,75cl
17,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ValleedesAigles_LimouxChardonnay2020TheGoodWineShop_2_1024x1024.jpg?v=1666611273,"Vallee des Aigles, Limoux Chardonnay 2020",19.50,White ,Chardonnay,France,Languedoc Roussillon,13.5%,75cl
18,//cdn.shopify.com/s/files/1/0097/8128/0834/products/MaisonHarbour_Gevrey-ChambertinLaJustice2019TheGoodWineShop_1024x1024.jpg?v=1666350073,"Maison Harbour, Gevrey-Chambertin La Justice 2019",68.00,Red ,Pinot Noir,France,Burgundy,13%,75cl
19,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineDomiqueGruhier_BourgogneEpineuilCotesdeGrisey2018TheGoodWineShop_1024x1024.jpg?v=1666344727,"Domaine Domique Gruhier, Bourgogne Epineuil Cotes de Grisey 2018",27.00,Red ,Pinot Noir,France,Burgundy,12.5%,75cl
20,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineBuisson-Battault_Meursault1erCruLesGouttesd_or2018TheGoodWineShop_1024x1024.jpg?v=1666277061,"Domaine Buisson-Battault, Meursault 1er Cru Les Gouttes d'or 2018",73.00,White ,Chardonnay,France,Burgundy,13%,75cl
21,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Thomson_Scott_NoughtyNon-AlcoholicSparklingChardonnaytheGoodWineShop_2_1024x1024.jpg?v=1666258885,"Thomson & Scott, Noughty Non-Alcoholic Sparkling Chardonnay",9.50,White ,Chardonnay,France,Burgundy,13%,75cl
22,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Thomson_Scott_NoughtyNon-AlcoholicRougeTheGoodWineShop_1024x1024.jpg?v=1666257813,"Thomson & Scott, Noughty Non-Alcoholic Rouge",10.50,White ,Chardonnay,France,Burgundy,13%,75cl
23,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Thistledown_GorgeousOldVineShiraz2021TheGoodWineShop_1024x1024.jpg?v=1666173967,"Thistledown, Gorgeous Old Vine Shiraz 2021",13.75,Red ,Shiraz,Australia,South Australia,13.5%,75cl
24,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Altolandon_EnblancodeAltolandon2021TheGoodWineShop_1024x1024.jpg?v=1666172731,"Altolandon, Enblanco de Altolandon 2021",13.75,White ,Garnacha Blanca,Spain,Valencia,12%,75cl
25,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Odjfell_ArmadorMerlot2021TheGoodWineShop_1024x1024.jpg?v=1666171445,"Odjfell, Armador Merlot 2021",13.75,Red ,Merlot,Chile,Maipo Valley,13%,75cl
26,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Indomita_NostrosPinotNoirReserva2021TheGoodWineShop_1024x1024.jpg?v=1666170450,"Indomita, Nostros Pinot Noir Reserva 2021",11.00,Red ,Pinot Noir,Chile,Casablanca Valley,13.5%,75cl
27,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Ilatium_MoriniSaove2020TheGoodWineShop_1024x1024.jpg?v=1666169269,"Ilatium, Morini Saove 2020",14.00,White ,Garganega,Italy,Vento,12.5%,75cl
28,//cdn.shopify.com/s/files/1/0097/8128/0834/products/MontRocher_ViognierViellesVignes2021TheGoodWineShop_1024x1024.jpg?v=1666168139,"Mont Rocher, Viognier Vielles Vignes 2021",10.25,White ,Viognier,France,Languedoc,14.5%,75cl
29,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomainedesClosdesRocs_Pouilly-LocheLesMures2020TheGoodWineShop_1024x1024.jpg?v=1666087049,"Domaine des Clos des Rocs, Pouilly-Loche Les Mures 2020",35.00,White ,Chardonnay,France,Burgundy,13.5%,75cl
30,//cdn.shopify.com/s/files/1/0097/8128/0834/products/MarvlaTindo_PinotGrisIdentikit2016TheGoodWineShop_1024x1024.jpg?v=1666020958,"Marvla Tindo, Pinot Gris Identikit 2016",41.00,White ,Chardonnay,France,Burgundy,13.5%,75cl
31,//cdn.shopify.com/s/files/1/0097/8128/0834/products/LoTriolet_AostaGamay2020TheGoodWineShop_1024x1024.jpg?v=1665756972,"Lo Triolet, Aosta Gamay 2020",20.00,Red ,Gamay,Italy,Valle d’Aosta,12%,75cl
32,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChateauClercMillon_PastourelledeClercMilon2012TheGoodWineShop_1024x1024.jpg?v=1665744778,"Chateau Clerc Millon, Pastourelle de Clerc Milon 2012",52.50,Red ,Cabernet Sauvignon,France,Bordeaux,14%,75cl
33,//cdn.shopify.com/s/files/1/0097/8128/0834/products/CainCellars_CainFive2014TheGoodWineShop_1024x1024.jpg?v=1665743637,"Cain Cellars, Cain Five 2014",99.00,Red ,Cabernet Sauvignon,United States,California,14.3%,75cl
34,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Churchill_s_VintagePort1994TheGoodWineShop_1024x1024.jpg?v=1665742666,"Churchill's, Vintage Port 1994",76.00,Red ,Cabernet Sauvignon,United States,California,14.3%,75cl
35,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Osmote_ChardonnaySenecaLake2019TheGoodWineShop_1024x1024.jpg?v=1665674315,"Osmote, Chardonnay Seneca Lake 2019",30.00,White ,Chardonnay,United States,New York,12.1%,75cl
36,//cdn.shopify.com/s/files/1/0097/8128/0834/products/VinaProgreso_BarricaAbiertaElisa_sDreamTannat2015TheGoodWineShop_1024x1024.jpg?v=1665671827,"Vina Progreso, Barrica Abierta Elisa's Dream Tannat 2015",46.50,White ,Chardonnay,United States,New York,12.1%,75cl
37,//cdn.shopify.com/s/files/1/0097/8128/0834/products/VeiledVine_OldVineSemillon2016TheGoodWineShop_1024x1024.jpg?v=1665669158,"Veiled Vine, Old Vine Semillon 2016",28.50,White ,Semillon,South Africa,Franschhoek,13.5%,75cl
38,//cdn.shopify.com/s/files/1/0097/8128/0834/products/LaMarea_Grenache2019TheGoodWineShop_1024x1024.jpg?v=1665667694,"La Marea, Grenache 2019",32.00,Red ,Grenache,United States,California,14.2%,75cl
39,//cdn.shopify.com/s/files/1/0097/8128/0834/products/RealCompanhiaVelha2007TheGoodWineShop_1024x1024.jpg?v=1665587081,Real Companhia Velha 2007 Vintage Port,70.00,Fortified ,Touriga Nacional,Portugal,Oporto,20%,75cl
40,//cdn.shopify.com/s/files/1/0097/8128/0834/products/RealCompanhiaVelha2003TheGoodWineShop_1024x1024.jpg?v=1665586485,Real Companhia Velha 2003 Vintage Port,76.00,Fortified ,Touriga Nacional,Portugal,Oporto,20%,75cl
